CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
6145,6231,-0.002,6145,0.9287,6145,208,NA
6773,7015,-0.001,6773,0.972,6773,208,NA
7023,7497,-0.001,7023,0.9473,7023,213,NA
7497,8063,0.001,7497,0.8929,7497,213,NA
7023,8063,0,7023,0.8915,7023,213,NA
15833,17524,0,15833,0.8731,15833,220,NA
17524,20344,18.01,17524,0.8507,17524,220,H2O
15479,16369,0,15479,0.954,15479,220,NA
16719,16927,-0.001,16719,0.9384,16719,220,NA
15833,20344,18.009,15833,0.8539,15833,220,H2O
15721,15978,-0.002,15721,0.9753,15721,224,NA
12837,15978,-72.022,12837,0.9733,12837,224,CH2N3O:C3H492
12399,12837,0,12399,0.9447,12399,224,NA
12837,15721,-72.02,12837,0.9697,12837,224,CH2N3O:C3H492
13582,15978,15.994,13582,0.9487,13582,224,O
8956,15721,104.01,8956,0.9416,8956,224,NA
8956,15978,104.008,8956,0.9436,8956,224,NA
8956,12837,176.03,8956,0.9552,8956,224,C4H4N3O_cytosine (-H):C6H8O6:C6H8O6_Glucuronic Acid (-H2O)
10907,13582,-86,10907,0.9581,10907,224,C3H5NO2_Serine
23152,25642,-28.031,23152,0.8062,23152,249,C2H4
23152,26008,-42.01,23152,0.8255,23152,249,N3:C2H2O
216,29518,0,216,0.7924,216,254,NA
29518,32121,0,29518,0.8666,29518,254,NA
29882,31090,0,29882,0.9019,29882,254,NA
216,29882,0,216,0.8034,216,254,NA
216,30639,0.001,216,0.7832,216,254,NA
29747,30639,0,29747,0.8918,29747,254,NA
29882,30639,0,29882,0.8428,29882,254,NA
30639,32121,0,30639,0.8914,30639,254,NA
29518,31090,0,29518,0.8613,29518,254,NA
29747,29882,0,29747,0.8521,29747,254,NA
29882,32121,0,29882,0.8591,29882,254,NA
29747,31090,0,29747,0.8291,29747,254,NA
29518,29882,0,29518,0.8399,29518,254,NA
31090,32121,0,31090,0.8801,31090,254,NA
30639,31090,0,30639,0.8987,30639,254,NA
29518,29747,0,29518,0.7696,29518,254,NA
216,29747,0,216,0.7999,216,254,NA
29518,30639,0,29518,0.7907,29518,254,NA
216,31090,0.001,216,0.7957,216,254,NA
29747,32121,0,29747,0.8508,29747,254,NA
23929,23930,18.011,23929,0.9213,23929,263,H2O
29544,30254,159.102,29544,0.6821,29544,267,NA
1949,2061,0,1949,0.9129,1949,363,NA
1947,2048,-0.001,1947,0.9148,1947,363,NA
2046,2048,-17.027,2046,0.9467,2046,363,adduct_rel_H_NH4 or NH3
1989,2094,-17.027,1989,0.9447,1989,363,adduct_rel_H_NH4 or NH3
1947,2095,17.026,1947,0.8982,1947,363,adduct_rel_H_NH4 or NH3
1989,1992,-17.027,1989,0.9465,1989,363,adduct_rel_H_NH4 or NH3
1989,2048,-17.027,1989,0.9486,1989,363,adduct_rel_H_NH4 or NH3
1947,2094,-0.001,1947,0.9063,1947,363,NA
1949,2046,-0.001,1949,0.9171,1949,363,NA
2061,2094,-17.027,2061,0.9398,2061,363,adduct_rel_H_NH4 or NH3
1989,2095,0,1989,0.9952,1989,363,NA
2046,2094,-17.027,2046,0.9428,2046,363,adduct_rel_H_NH4 or NH3
2046,2061,0,2046,0.9914,2046,363,NA
1989,2046,0,1989,0.9938,1989,363,NA
2048,2095,17.027,2048,0.9454,2048,363,adduct_rel_H_NH4 or NH3
1992,2095,17.026,1992,0.946,1992,363,adduct_rel_H_NH4 or NH3
1949,2095,-0.001,1949,0.9163,1949,363,NA
1992,2048,0,1992,0.9906,1992,363,NA
1949,1989,0,1949,0.9185,1949,363,NA
2048,2094,0,2048,0.9886,2048,363,NA
1992,2094,0,1992,0.9882,1992,363,NA
1989,2061,0,1989,0.9932,1989,363,NA
2048,2061,17.027,2048,0.9432,2048,363,adduct_rel_H_NH4 or NH3
2046,2095,0,2046,0.9939,2046,363,NA
1947,1992,0,1947,0.9078,1947,363,NA
1947,1989,17.026,1947,0.9001,1947,363,adduct_rel_H_NH4 or NH3
2061,2095,0,2061,0.9955,2061,363,NA
1992,2061,17.026,1992,0.9442,1992,363,adduct_rel_H_NH4 or NH3
1947,2061,17.026,1947,0.8962,1947,363,adduct_rel_H_NH4 or NH3
2094,2095,17.027,2094,0.9416,2094,363,adduct_rel_H_NH4 or NH3
1992,2046,17.026,1992,0.9464,1992,363,adduct_rel_H_NH4 or NH3
1947,2046,17.026,1947,0.8986,1947,363,adduct_rel_H_NH4 or NH3
30822,31118,-28.031,30822,0.9173,30822,467,C2H4
29675,29869,0,29675,0.8724,29675,468,NA
15642,16592,0,15642,0.9937,15642,505,NA
11988,12336,-0.001,11988,0.8898,11988,558,NA
22850,23398,-1.004,22850,0.9167,22850,563,isotope_13C
22850,23022,-44.007,22850,0.7218,22850,563,NA
18671,23398,-29.035,18671,0.8963,18671,563,NA
22850,25965,-28.032,22850,0.9218,22850,563,C2H4
30100,30658,-28.031,30100,0.9611,30100,563,C2H4
18671,25090,-28.032,18671,0.721,18671,563,C2H4
28737,30100,-28.031,28737,0.8945,28737,563,C2H4
28737,30658,-56.062,28737,0.8558,28737,563,C4H8
23398,25965,-27.028,23398,0.8909,23398,563,NA
18671,25965,-56.063,18671,0.9642,18671,563,C4H8
18671,22850,-28.031,18671,0.9584,18671,563,C2H4
25943,26579,-0.001,25943,0.8883,25943,595,NA
24326,26579,0,24326,0.9254,24326,595,NA
26579,28104,-28.031,26579,0.9171,26579,595,C2H4
2788,3041,0,2788,0.9925,2788,633,NA
2091,2788,-0.001,2091,0.9758,2091,633,NA
2163,2788,0,2163,0.9567,2163,633,NA
2163,3041,0,2163,0.9562,2163,633,NA
2091,3041,0,2091,0.9743,2091,633,NA
2091,2163,0,2091,0.9725,2091,633,NA
23374,24645,-13.979,23374,0.9213,23374,635,NA
22984,23374,46.005,22984,0.8219,22984,635,CH2O2
8944,9295,-0.001,8944,0.7475,8944,653,NA
25669,26140,15.996,25669,0.8994,25669,661,O
24669,25494,133.999,24669,0.8688,24669,661,NA
25494,25669,-136.016,25494,0.9374,25494,661,NA
25986,26140,31.99,25986,0.8679,25986,661,O2
25669,25765,-58.005,25669,0.8937,25669,661,N3O:C2H2O2
25494,26140,-120.02,25494,0.8905,25494,661,NA
25765,26140,74.001,25765,0.9184,25765,661,N3O2:C2H2O3:C5N
25765,25986,42.012,25765,0.8892,25765,661,N3:C2H2O
25494,25765,-194.021,25494,0.8756,25494,661,NA
24669,25669,-2.017,24669,0.8777,24669,661,H2
19222,19584,0,19222,0.9393,19222,679,NA
13026,20648,31.99,13026,0.866,13026,679,O2
24313,25944,-42.01,24313,0.9559,24313,708,N3:C2H2O
2698,2808,18.01,2698,0.7419,2698,712,H2O
2698,2834,0,2698,0.9666,2698,712,NA
2808,2834,-18.011,2808,0.7772,2808,712,H2O
2249,2296,0,2249,0.7777,2249,733,NA
2296,2344,0,2296,0.7763,2296,733,NA
2249,2344,0,2249,0.764,2249,733,NA
1492,1495,-42.01,1492,0.7573,1492,774,N3:C2H2O
456,2394,-35.037,456,0.8648,456,812,NA
3702,4278,0,3702,0.9775,3702,1009,NA
3199,3462,0,3199,0.9111,3199,1117,NA
29159,29283,0,29159,0.9737,29159,1184,NA
2140,2214,0,2140,0.8895,2140,1203,NA
1873,2140,0,1873,0.8927,1873,1203,NA
356,374,-17.026,356,0.9556,356,1277,adduct_rel_H_NH4 or NH3
374,396,-0.984,374,0.9347,374,1277,NH3<->OH
356,396,-18.01,356,0.9319,356,1277,H2O
27255,27375,-0.002,27255,0.8809,27255,1305,NA
27375,27377,-182.057,27375,0.8757,27375,1305,NA
7259,7349,18.01,7259,0.7512,7259,1351,H2O
2910,3003,0,2910,0.9628,2910,1445,NA
3246,9024,0,3246,0.9866,3246,1479,NA
4588,9024,0,4588,0.9973,4588,1479,NA
3246,4588,0,3246,0.9831,3246,1479,NA
3639,9024,0,3639,0.995,3639,1479,NA
3639,4588,0,3639,0.9907,3639,1479,NA
3246,3639,0,3246,0.9862,3246,1479,NA
14612,15108,-0.001,14612,0.7573,14612,1490,NA
19653,19928,0,19653,0.9158,19653,1606,NA
13487,19653,0,13487,0.8862,13487,1606,NA
13487,19928,0,13487,0.8627,13487,1606,NA
25073,27497,-62.016,25073,0.823,25073,1708,H2N2O2:C5H2
2699,4153,15.995,2699,0.8456,2699,1849,O
3752,4153,0,3752,0.7527,3752,1849,NA
9490,9937,0,9490,0.9165,9490,1872,NA
9490,10769,0,9490,0.9291,9490,1872,NA
9937,10407,0,9937,0.9615,9937,1872,NA
9490,10407,0,9490,0.9241,9490,1872,NA
9937,10769,0,9937,0.9581,9937,1872,NA
10407,10769,0,10407,0.9732,10407,1872,NA
3644,4583,-179.079,3644,0.7861,3644,2083,NA
4577,4583,-179.079,4577,0.787,4577,2083,NA
3644,4577,0,3644,0.9688,3644,2083,NA
26936,27097,-0.001,26936,0.9017,26936,2185,NA
27084,27097,122.037,27084,0.9299,27084,2185,NA
26551,26771,-0.001,26551,0.7637,26551,2254,NA
14032,15940,15.995,14032,0.8797,14032,2693,O
17939,18160,-0.001,17939,0.9818,17939,2927,NA
19372,19750,-0.001,19372,0.8613,19372,3007,NA
18754,19372,0,18754,0.846,18754,3007,NA
18754,19750,-0.001,18754,0.8402,18754,3007,NA
3598,3717,0,3598,0.9244,3598,3027,NA
23569,23924,-0.001,23569,0.9311,23569,3605,NA
8773,9171,0,8773,0.9104,8773,3792,NA
27256,27364,-0.002,27256,0.8597,27256,4760,NA
3599,3719,0,3599,0.9512,3599,5218,NA
11779,11970,-0.002,11779,0.6908,11779,5529,NA
27253,27371,-0.001,27253,0.8066,27253,5963,NA
3371,3442,-0.001,3371,0.896,3371,7058,NA
13399,13399,0,1,1,1,-1,NA
699,699,0,1,1,1,-1,NA
2772,2772,0,1,1,1,-1,NA
279,279,0,1,1,1,-1,NA
157,157,0,1,1,1,-1,NA
11039,11039,0,1,1,1,-1,NA
2597,2597,0,1,1,1,-1,NA
169,169,0,1,1,1,-1,NA
1127,1127,0,1,1,1,-1,NA
842,842,0,1,1,1,-1,NA
17068,17068,0,1,1,1,-1,NA
4401,4401,0,1,1,1,-1,NA
23968,23968,0,1,1,1,-1,NA
339,339,0,1,1,1,-1,NA
15982,15982,0,1,1,1,-1,NA
14903,14903,0,1,1,1,-1,NA
5736,5736,0,1,1,1,-1,NA
19753,19753,0,1,1,1,-1,NA
31655,31655,0,1,1,1,-1,NA
13889,13889,0,1,1,1,-1,NA
16976,16976,0,1,1,1,-1,NA
21348,21348,0,1,1,1,-1,NA
23927,23927,0,1,1,1,-1,NA
14039,14039,0,1,1,1,-1,NA
15398,15398,0,1,1,1,-1,NA
2421,2421,0,1,1,1,-1,NA
25064,25064,0,1,1,1,-1,NA
18543,18543,0,1,1,1,-1,NA
23062,23062,0,1,1,1,-1,NA
1845,1845,0,1,1,1,-1,NA
4152,4152,0,1,1,1,-1,NA
23973,23973,0,1,1,1,-1,NA
23567,23567,0,1,1,1,-1,NA
20998,20998,0,1,1,1,-1,NA
2028,2028,0,1,1,1,-1,NA
24799,24799,0,1,1,1,-1,NA
15580,15580,0,1,1,1,-1,NA
18888,18888,0,1,1,1,-1,NA
6151,6151,0,1,1,1,-1,NA
23568,23568,0,1,1,1,-1,NA
13324,13324,0,1,1,1,-1,NA
6632,6632,0,1,1,1,-1,NA
20115,20115,0,1,1,1,-1,NA
6925,6925,0,1,1,1,-1,NA
5315,5315,0,1,1,1,-1,NA
2473,2473,0,1,1,1,-1,NA
4330,4330,0,1,1,1,-1,NA
8339,8339,0,1,1,1,-1,NA
28582,28582,0,1,1,1,-1,NA
4806,4806,0,1,1,1,-1,NA
28037,28037,0,1,1,1,-1,NA
29777,29777,0,1,1,1,-1,NA
4791,4791,0,1,1,1,-1,NA
28608,28608,0,1,1,1,-1,NA
27254,27254,0,1,1,1,-1,NA
23993,23993,0,1,1,1,-1,NA
26928,26928,0,1,1,1,-1,NA
27344,27344,0,1,1,1,-1,NA
2574,2574,0,1,1,1,-1,NA
4788,4788,0,1,1,1,-1,NA
27846,27846,0,1,1,1,-1,NA
29395,29395,0,1,1,1,-1,NA
478,478,0,1,1,1,-1,NA
21322,21322,0,1,1,1,-1,NA
23424,23424,0,1,1,1,-1,NA
30094,30094,0,1,1,1,-1,NA
5604,5604,0,1,1,1,-1,NA
28618,28618,0,1,1,1,-1,NA
13603,13603,0,1,1,1,-1,NA
17845,17845,0,1,1,1,-1,NA
2286,2286,0,1,1,1,-1,NA
9387,9387,0,1,1,1,-1,NA
2080,2080,0,1,1,1,-1,NA
445,445,0,1,1,1,-1,NA
30763,30763,0,1,1,1,-1,NA
2793,2793,0,1,1,1,-1,NA
2904,2904,0,1,1,1,-1,NA
28438,28438,0,1,1,1,-1,NA
31667,31667,0,1,1,1,-1,NA
31895,31895,0,1,1,1,-1,NA
24559,24559,0,1,1,1,-1,NA
28695,28695,0,1,1,1,-1,NA
29351,29351,0,1,1,1,-1,NA
1030,1030,0,1,1,1,-1,NA
13617,13617,0,1,1,1,-1,NA
30079,30079,0,1,1,1,-1,NA
2359,2359,0,1,1,1,-1,NA
8450,8450,0,1,1,1,-1,NA
16164,16164,0,1,1,1,-1,NA
16979,16979,0,1,1,1,-1,NA
21032,21032,0,1,1,1,-1,NA
1774,1774,0,1,1,1,-1,NA
21755,21755,0,1,1,1,-1,NA
32364,32364,0,1,1,1,-1,NA
14942,14942,0,1,1,1,-1,NA
19756,19756,0,1,1,1,-1,NA
922,922,0,1,1,1,-1,NA
3392,3392,0,1,1,1,-1,NA
9221,9221,0,1,1,1,-1,NA
6076,6076,0,1,1,1,-1,NA
19731,19731,0,1,1,1,-1,NA
13832,13832,0,1,1,1,-1,NA
3036,3036,0,1,1,1,-1,NA
2931,2931,0,1,1,1,-1,NA
24196,24196,0,1,1,1,-1,NA
24630,24630,0,1,1,1,-1,NA
22906,22906,0,1,1,1,-1,NA
9710,9710,0,1,1,1,-1,NA
23360,23360,0,1,1,1,-1,NA
26429,26429,0,1,1,1,-1,NA
27280,27280,0,1,1,1,-1,NA
24631,24631,0,1,1,1,-1,NA
27454,27454,0,1,1,1,-1,NA
26548,26548,0,1,1,1,-1,NA
27921,27921,0,1,1,1,-1,NA
21279,21279,0,1,1,1,-1,NA
32441,32441,0,1,1,1,-1,NA
17264,17264,0,1,1,1,-1,NA
25059,25059,0,1,1,1,-1,NA
25355,25355,0,1,1,1,-1,NA
26896,26896,0,1,1,1,-1,NA
9955,9955,0,1,1,1,-1,NA
32058,32058,0,1,1,1,-1,NA
32303,32303,0,1,1,1,-1,NA
9417,9417,0,1,1,1,-1,NA
24150,24150,0,1,1,1,-1,NA
9541,9541,0,1,1,1,-1,NA
27386,27386,0,1,1,1,-1,NA
31507,31507,0,1,1,1,-1,NA
411,411,0,1,1,1,-1,NA
29988,29988,0,1,1,1,-1,NA
27352,27352,0,1,1,1,-1,NA
16720,16720,0,1,1,1,-1,NA
28462,28462,0,1,1,1,-1,NA
10247,10247,0,1,1,1,-1,NA
4912,4912,0,1,1,1,-1,NA
5115,5115,0,1,1,1,-1,NA
4913,4913,0,1,1,1,-1,NA
