row.ID,row m/z,row retention time,smiles,NPC.pathway,NPC.superclass,NPC.class,ClassyFire.most.specific.class
174,367.116071,0.3264278,CCN1C=CN=C1N2CCN(CC2)C(=O)C3=CC4=C(C=C3)OCO4,Shikimates and Phenylpropanoids,Lignans,Dibenzylbutyrolactone lignans,Lignan lactones
184,175.0600002,0.3411,CCOC(=O)C(=O)CC(=O)OC,Fatty acids,Fatty esters,Wax monoesters,Fatty acid methyl esters
185,301.1785366,0.34277776,CC12CC(C3C(C1CCC2=O)CCC4=C3CCC(=O)C4)C=O,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Aromatic monoterpenoids
188,383.1484338,0.35255,CCC(=CC1=CC=C(C=C1)OC(=O)C)C2=CC(=CC(=C2)OC(=O)C)OC(=O)C,Shikimates and Phenylpropanoids,Stilbenoids,Monomeric stilbenes,Phenol esters
213,148.0392637,0.39783183,C1=CC=C2C(=C1)C(=O)NC2=O,Alkaloids,Tryptophan alkaloids,Simple oxindole alkaloids,Aryl ketones
214,341.1380316,0.39836666,C=C1CC23COC(=O)C2=CCCC3CC14CC(OC4=O)C5=COC=C5,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids,Gamma butyrolactones
216,343.3381922,0.412975,CCCCCCCCCCCCSCCCCCCCCCC,Fatty acids,Fatty acyls,Hydrocarbons,Dialkylthioethers
217,300.0605282,0.42241362,COC1=CC2=CC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])N=C2C=C1,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,Quinazolines
220,241.0379643,0.43336666,CC(=O)C1=NC2=CC=CC=C2C(=O)N1C,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,Pyrimidones
243,167.0552995,0.49780276,CCCSS(=O)CCC,Fatty acids,Fatty acyls,Hydrocarbons,Thiosulfinic acid esters
276,200.9726631,0.5585171,C(C(=O)NC(=O)N)S(=O)(=O)Cl,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
277,232.9978314,0.55855,NA,Amino acids and Peptides,Small peptides,Wax monoesters,Alpha amino acids and derivatives
279,141.0542714,0.56011665,CC=C1C(=CC(=O)O1)OC,Polyketides,Cyclic polyketides,2-pyrone derivatives,Pyrans
285,233.9996492,0.562567,COC(=O)C(=O)NC1=NN=C(S1)SC,Amino acids and Peptides,Small peptides,Aminoacids,Amino acids and derivatives
288,147.0137273,0.56281203,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
289,216.9505153,0.5628344,NA,Amino acids and Peptides,Small peptides,Aminoacids,S-alkyl thiosulfates
299,286.9583963,0.56524163,NA,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins,Hydrolyzable tannins
301,231.0343153,0.5657333,CCOOOOCOOOOCOOOC,Carbohydrates,Saccharides,Monosaccharides,Hydroxy acids and derivatives
302,234.9605205,0.5659464,NA,Amino acids and Peptides,Small peptides,Aminoacids,Amino acids and derivatives
304,131.1289689,0.5676025,C(CCN=C(N)N)CN,Alkaloids,Ornithine alkaloids,Polyamines,Guanidines
321,266.1582696,0.5843166,CC(CCN)COC1C(C(C(C(O1)CO)O)O)O,Amino acids and Peptides,Amino acid glycosides,Cyanogenic glycosides,Alkyl glycosides
334,208.972332,0.603758,CN1C(=O)[P+]2(C1=O)C(=O)NC2=O,Alkaloids,Pseudoalkaloids,Pyridine alkaloids,Pyrimidones
339,204.0546826,0.60971665,CCCP(=O)(CCCN)O,Amino acids and Peptides,Small peptides,Aminoacids,Alkylarylthioethers
341,304.1486152,0.6102,CC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)CN,Amino acids and Peptides,Small peptides,Tripeptides,Oligopeptides
347,133.0606391,0.6145144,C(C(C(=O)O)N)C(=O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
351,304.150181,0.6156774,CCCNC(=O)C(C)NC(=O)NC(CCC(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Tripeptides,Oligopeptides
352,411.0978633,0.6163722,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,N-acylneuraminic acids and derivatives
353,185.0319836,0.61704165,C(CC(=O)N)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids
354,270.9610854,0.61718667,C(C(C(C(=O)O)O)(O)O)OP(=O)(O)O,Carbohydrates,Saccharides,Monosaccharides,Monosaccharide phosphates
356,130.0497656,0.62235445,C1CC(=O)NC1C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Proline and derivatives
357,273.119388,0.6184166,COCCNCC(=O)NCCOCCOC,Amino acids and Peptides,Small peptides,Dipeptides,Carbamate esters
358,175.1186707,0.6185237,C(CC(C(=O)O)N)CN=C(N)N,Amino acids and Peptides,Small peptides,Aminoacids,L-alpha-amino acids
359,159.0760855,0.6187555,C=CCC(C(=O)O)NC(=O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
365,176.1026969,0.6200583,C(CC(C(=O)O)N)CNC(=O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
366,156.0762549,0.62041664,C1=C(NC=N1)CC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Histidine and derivatives
369,259.0917505,0.62065005,C(C(C(=O)O)N)C(=O)NC(C=O)C(C(C(CO)O)O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
373,221.0417327,0.6216608,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
374,147.0762034,0.62179744,C1CC(=O)NC1C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Proline and derivatives
375,219.0262251,0.6218062,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
377,277.1021072,0.62225,C(CC(=O)NC(CCC(=O)O)C(=O)O)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminosugars,Alpha amino acids
391,296.0657876,0.6241718,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,Fatty acids,Glycerophospholipids,Glycerophosphocholines,Phosphocholines
396,148.0602269,0.62558913,C(CC(=O)O)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
399,216.0256677,0.62596667,C(CC(C(=O)O)O)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Amino acids and derivatives
404,248.1127397,0.627406,C(CC(=O)O)CNCC1(C(C(C(O1)CO)O)O)O,Amino acids and Peptides,Amino acid glycosides,Cyanogenic glycosides,Hexoses
406,162.1123141,0.6275667,C[N+](C)(C)CC(CC(=O)O)O,Fatty acids,Fatty Acids and Conjugates,Fatty acyl carnitines,Beta hydroxy acids and derivatives
411,687.1733667,0.62956667,CC1C(=O)C(C(C(O1)OCC2C(C(C(C(O2)O)O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O)O)O)O,Carbohydrates,Saccharides,Polysaccharides,Oligosaccharides
422,235.1654387,0.6319389,CCC(C)NC(=O)CNC(CO)(CO)CO,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids and derivatives
423,323.1073666,0.6319417,C(CC(=O)NC(CC(C(O)O)C(=O)O)C(=O)O)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids
430,129.0656522,0.6340167,C(C#CN)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
440,273.1209204,0.635132,CC(C)(C)OC(=O)NCCNCC(CO)O,Amino acids and Peptides,Small peptides,Dipeptides,Carbamate esters
445,363.0674853,0.6359163,NA,Carbohydrates,Amino acid glycosides,Glucosinolates,Monosaccharides
446,176.0107222,0.63698334,C[N+]1=CC=CC(=C1)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridinecarboxylic acids
447,146.0811898,0.63745093,CC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
448,132.0652284,0.6375933,C(CC(=O)O)C(C=O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
451,138.0547214,0.637922,C[N+]1=CC=CC(=C1)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridinecarboxylic acids
454,293.0625201,0.6389753,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Alpha amino acids
456,325.1118606,0.63940555,C(C1C(C(C(C(O1)OC(CO)C(C(C#CO)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
468,160.0599522,0.642725,C1C(C1C(=O)O)C(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
469,189.1232484,0.64325,CC(=O)NCCCCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids
470,116.0703742,0.6433897,C1CC(NC1)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,L-alpha-amino acids
471,401.0689522,0.6436667,C(C(O)OCOCO)C(=CC(O)OOCOO)C(O)OCOCO,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Disaccharides
472,154.1338617,0.64372504,CC1=CN=C(N1)CCCNC,Alkaloids,Histidine alkaloids,Imidazole alkaloids,Aralkylamines
475,280.1016903,0.64416665,C(CC(=O)O)C(=O)NC1C(C(C(OC1O)CO)O)O,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Amino acids
477,258.1099284,0.6448772,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,Fatty acids,Glycerophospholipids,Glycerophosphocholines,Phosphocholines
478,347.0936801,0.6459928,CC(C)OC1=NC(=NC(=N1)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(C)C,Carbohydrates,Pseudoalkaloids,pteridine alkaloids,Hexoses
481,509.1460241,0.64730513,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C4C(C(C(O3)O4)O)O)O)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Oligosaccharides
484,302.0273331,0.6483333,CN1C=C(C=N1)NC2=C(C=C(C=N2)[N+](=O)[O-])C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Organic phosphoric acids and derivatives
485,258.108787,0.64933056,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,Fatty acids,Glycerophospholipids,Glycerophosphocholines,Phosphocholines
491,335.0940591,0.6515333,C(C1C(C(C(C(O1)OC(C=O)C(C(CO)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,O-glycosyl compounds
494,671.1976661,0.6526833,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Amino acids
497,231.0262463,0.6532639,C1CNC(CSSCC(N1)C(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Amino acids and derivatives
499,257.1470261,0.6539378,CC(=O)NCCOCCOCCOCCN,Amino acids and Peptides,Small peptides,Dipeptides,N-carbamoyl-alpha amino acids
500,127.0386779,0.65504223,C1(C(C(C2C(C1O)O2)O)O)O,Carbohydrates,Saccharides,Monosaccharides,Oxepanes
503,119.0187873,0.6554,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alkanolamines
504,175.1073212,0.65593326,CC(=O)NC(CCCN)C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids
508,124.0393067,0.6567628,C1=CC(=CN=C1)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridinecarboxylic acids
513,202.0708976,0.65855,C=CCC(=O)NC(CC(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids
515,219.0971999,0.65964335,CC(C(=O)O)NC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Gamma-glutamyl amino acids
518,257.1455814,0.66175413,CC(=O)NCCOCCOCCOCCN,Amino acids and Peptides,Small peptides,Dipeptides,N-carbamoyl-alpha amino acids
520,128.0706873,0.66331667,C1CC(NC(=O)C1)C=O,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Piperidinediones
524,689.2085378,0.6673864,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,N-acylneuraminic acids
528,527.1569969,0.6689708,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3(C(C(C(O3)CO)O)O)CO)CO)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Oligosaccharides
534,499.1143406,0.67188334,NA,Carbohydrates,Saccharides,Disaccharides,Fatty acyl glycosides of mono- and disaccharides
539,176.1031146,0.6767833,C=CCC(C(=O)O)NC(=O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
543,337.0615619,0.68043333,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Neuraminic acids
546,174.0760802,0.68276995,C1CC(NC(C1)C(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
552,146.080781,0.6864167,CC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Delta amino acids and derivatives
554,246.0605825,0.6945397,C(CC(=O)O)C(=O)NC(CC(C(=O)O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Aspartic acid and derivatives
557,349.0615067,0.6916167,NA,Carbohydrates,Saccharides,Monosaccharides,Glucuronic acid derivatives
566,215.0522613,0.69529253,CN1C(=O)C2=C(NC1=O)N=C(N2)C=C,Alkaloids,Pseudoalkaloids,Purine alkaloids,"Pyrazolo[3,4-d]pyrimidines"
568,335.073529,0.69685,COC1=C(C=CC(=C1)C=O)OC2C(C(C(C(O2)C=O)O)O)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Phenolic glycosides
569,131.1290474,0.69882834,C1CC1CN=C(N)N,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Guanidines
570,174.0394976,0.6999111,C1C(C(NC1=O)C(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
571,321.1151504,0.70046216,CC(C)N1C=C(C=N1)NC(=O)NC(CCC(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides,Peptides
576,351.1260375,0.70306665,CC(C(C(C(CO)O)O)OC1C(C(C(C(O1)CO)O)O)O)O,Fatty acids,Saccharides,Disaccharides,Alkyl glycosides
584,277.1022348,0.7072833,C(C1C(C(C(C(O1)O)NC(=O)CC(C(=O)O)N)O)O)O,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Alpha amino acids
589,303.019563,0.71232665,NA,Carbohydrates,Saccharides,Monosaccharides,Glucuronic acid derivatives
594,121.0647512,0.7154083,C=CC1=CC=C(C=C1)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Styrenes
595,361.0617016,0.7162667,NA,Carbohydrates,Saccharides,Monosaccharides,Glucuronic acid derivatives
597,192.0858261,0.7203833,C(CC(C(=O)O)N)C(CC(=O)O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
599,335.094169,0.72072774,C(C1C(C(C(C(O1)OC(C=O)C(C(CO)O)O)O)O)O)O,Shikimates and Phenylpropanoids,Flavonoids,Flavones,O-methylated flavonoids
600,247.0411511,0.7213411,CNS(=O)(=O)CCNS(=O)(=O)CCO,Alkaloids,Pseudoalkaloids,Purine alkaloids,Alkylarylthioethers
601,152.0565716,0.7222489,C1=NC2=C(N1)NC(=N)N=C2O,Alkaloids,Pseudoalkaloids,Purine alkaloids,6-oxopurines
602,345.0791093,0.7261222,C(CC(C(=O)O)OOC(CCCC(=O)O)C(=O)O)CC(=O)O,Carbohydrates,Saccharides,Disaccharides,O-glucuronides
608,136.0616576,0.736963,C1=NC2=NC=NC(=C2N1)N,Alkaloids,Pseudoalkaloids,Purine alkaloids,6-aminopurines
609,119.0187844,0.7322726,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alkanolamines
610,247.0424623,0.732531,C(CONC(NC(=O)O)NC(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
611,349.0247709,0.7340278,CSC(=O)NC(=O)NC(=O)C=CC(=O)NC(=O)NC(=O)SC,Amino acids and Peptides,β-lactams,Cephalosporins,N-acyl-alpha amino acids and derivatives
612,130.097084,0.7392333,CC(=O)CCN=C(N)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
614,174.0863556,0.7457167,C(CC(=O)N=C(N)N)CC(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
615,405.049085,0.7459,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Alpha amino acids and derivatives
618,217.0320765,0.7492,C(C(C(C(C(=O)O)O)C(=O)O)O)O,Carbohydrates,Saccharides,Monosaccharides,Sugar acids and derivatives
619,301.2119378,0.75418335,CC(C)(C)OC(=O)N1CCC(CC1)CNCCCC(=O)O,Alkaloids,Ornithine alkaloids,Pyrrolizidine alkaloids,Amino acids and derivatives
622,159.1236555,0.75625837,C(CC(C=O)N)CN=C(N)N,Alkaloids,Ornithine alkaloids,Polyamines,Guanidines
623,164.070625,0.7581667,C1CC(=O)NC2=C1C(=CC=C2)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridines and derivatives
630,291.1049327,0.7651403,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Alpha amino acids
646,262.1038513,0.78213334,CNC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids
647,280.0923053,0.7822,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,Fatty acids,Glycerophospholipids,Glycerophosphocholines,Phosphocholines
649,248.2081683,0.7829667,C(CNCCNCCNCCNCC(=O)O)N,Amino acids and Peptides,Small peptides,Polyamines,Valine and derivatives
652,235.1653075,0.7876,COCCNC(=O)CNCCOCCOC,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids and derivatives
655,319.0995385,0.79112315,C(C1C(C(C1OC2C(C(C(C(O2)CO)O)O)O)O)O)O,Carbohydrates,Fatty acyl glycosides,Disaccharides,Saccharolipids
658,124.0392634,0.79427594,C1=CC(=CN=C1)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridinecarboxylic acids
659,365.105442,0.79670835,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
664,150.0575549,0.7983084,CSCCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
665,131.1284414,0.7987,C(CCN=C(N)N)CN,Alkaloids,Ornithine alkaloids,Polyamines,Guanidines
667,527.1583208,0.79972875,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Oligosaccharides
670,289.0899902,0.80491114,C1=C(C=C(C=C1O)OC2C(C(C(C(O2)CO)O)O)O)O,Polyketides,Phloroglucinols,Acyl phloroglucinols,Phenolic glycosides
679,180.101698,0.81073666,COC1=CC=CC=C1CNCC=O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Anisoles
684,231.0334885,0.81715,C(C(CON=O)(CON=O)N)ON=O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
685,357.0658612,0.81741667,C(C(C(C(=O)O)O)O)(C(C(=O)C(=O)C(C(C(C(=O)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Saccharolipids
690,227.0160017,0.81924105,CS(=O)(=O)CCNS(=O)(=O)CC#N,Amino acids and Peptides,Small peptides,Aminoacids,Carboxylic acids
693,219.0977243,0.8218333,CC(C(=O)O)NC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Gamma-glutamyl amino acids
694,222.0608269,0.8219834,C(C(C(C(C(=O)O)N)O)C(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
697,332.1322008,0.8254333,CC1=NC=C(C(=C1O)CO)COC2C(C(C(C(O2)CO)O)O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Hexoses
699,137.04553,0.8258667,C1=NC2=C(N1)C(=O)N=CN2,Alkaloids,Pseudoalkaloids,Purine alkaloids,6-oxopurines
705,305.0337182,0.82886666,C(=O)(C1(C(C(C(C(C1(O)O)(O)O)(O)O)(O)O)(O)O)O)O,Carbohydrates,Saccharides,Monosaccharides,Beta hydroxy acids and derivatives
706,227.0149009,0.82918614,C(C(C(=O)O)N)SSC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Fatty acids and conjugates
707,261.0086354,0.82954353,NA,Amino acids and Peptides,Small peptides,Aminoacids,Aspartic acid and derivatives
715,247.1765615,0.83355,C(CC(C(=O)NC(CCCN)C(=O)O)N)CN,Amino acids and Peptides,Small peptides,Dipeptides,Valine and derivatives
720,383.1487088,0.8353,CC(=O)OC(C#CC(C1=CC=C(C=C1)OC)OC(=O)C)C2=CC=C(C=C2)OC,Shikimates and Phenylpropanoids,Coumarins,Isoflavanones,Isoflavans
721,198.0362493,0.8366333,C(C=O)N(CC(=O)O)CC(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
729,238.1074371,0.83961666,CC(=O)C1=CC(=C(C=C1NC(=O)C)OC)OC,Alkaloids,Peptide alkaloids,Phenylethylamines,Anisoles
732,196.0970014,0.8419833,COC1=C(C=CC(=C1)C=CC=O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
736,401.1593116,0.84275,CC1CC(=O)C2(C(C13CC(OC3=O)C4=COC=C4)CCC(C25CO5)O)COC(=O)C,Terpenoids,Triterpenoids,Limonoids,Naphthopyrans
741,276.9866032,0.8456333,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
742,162.075841,0.84611666,CC(C(C(=O)O)NC(=O)C)O,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids and derivatives
745,236.9977626,0.84635603,C1CS(=O)(=O)CC1S(=O)(=O)NN,Amino acids and Peptides,Small peptides,Aminoacids,Monoalkylamines
748,409.019142,0.8503245,NA,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins,Naphthalenecarboxylic acids
758,438.9804948,0.854545,C1=CC(=CC=C1N=[N+]=[N-])SC(CC(=O)O)(N2C(=CC=C2O)O)S(=O)(=O)O,Amino acids and Peptides,Small peptides,Tripeptides,N-acyl-alpha amino acids and derivatives
759,148.0756817,0.85473335,C1=CC=CC(=O)NC=CC=C1,Alkaloids,Tryptophan alkaloids,Simple oxindole alkaloids,Indoles and derivatives
760,173.1392784,0.8548704,CC(=O)NCCCCN=C(N)N,Alkaloids,Ornithine alkaloids,Polyamines,Secondary carboxylic acid amides
762,244.0929825,0.85548884,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Carbohydrates,Nucleosides,Pyrimidine nucleos(t)ides,Amino acids and derivatives
767,170.1174621,0.85819167,CC(C)N1CC(=O)CC1C(=O)C,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Alpha-amino ketones
769,241.068212,0.8610292,C1=C(N(C(=N1)N)O)N(CCO)CCO,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Organic nitro compounds
770,184.0574556,0.86118186,C(CC(C(=O)O)N)CC(=O)O,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
771,235.1183887,0.8613453,C1CC2C(=O)NC(C(=O)N2C1)CC3=CN=CN3,Amino acids and Peptides,Small peptides,Dipeptides,Peptides
777,255.0942516,0.8659917,CCC(C(=O)O)NC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids and derivatives
782,487.0927177,0.87080413,COC1C(C(C(OC1C(=O)O)OC)OC(=O)C(C(C(=O)O)O)O)OC(=O)C(C(O)OC=O)O,Carbohydrates,Saccharides,Disaccharides,O-glucuronides
